
# BEST (mask_ratio(0.5) embedding initialize, head_petition, shuffle=True)
TrainLoss : 5.79136, Train_NSPAcc: 81.25%, Train_MLMAcc: 7.01%, ValidLoss : 8.377, ValidNspAcc : 50.16%, Valid_MLMAcc: 14.72%
TrainLoss : 5.80354, Train_NSPAcc: 81.54%, Train_MLMAcc: 6.96%, ValidLoss : 8.004, ValidNspAcc : 51.24%, Valid_MLMAcc: 15.63%
TrainLoss : 5.77649, Train_NSPAcc: 78.81%, Train_MLMAcc: 6.97%, ValidLoss : 8.161, ValidNspAcc : 49.20%, Valid_MLMAcc: 15.60%
TrainLoss : 5.69984, Train_NSPAcc: 80.86%, Train_MLMAcc: 7.18%, ValidLoss : 8.143, ValidNspAcc : 52.86%, Valid_MLMAcc: 15.71%
TrainLoss : 5.69120, Train_NSPAcc: 82.03%, Train_MLMAcc: 6.99%, ValidLoss : 8.274, ValidNspAcc : 51.36%, Valid_MLMAcc: 15.78%
TrainLoss : 5.69011, Train_NSPAcc: 81.35%, Train_MLMAcc: 7.39%, ValidLoss : 8.586, ValidNspAcc : 48.80%, Valid_MLMAcc: 16.07%
TrainLoss : 5.60994, Train_NSPAcc: 81.74%, Train_MLMAcc: 7.64%, ValidLoss : 8.224, ValidNspAcc : 53.06%, Valid_MLMAcc: 15.90%
TrainLoss : 5.50022, Train_NSPAcc: 85.94%, Train_MLMAcc: 7.54%, ValidLoss : 8.382, ValidNspAcc : 51.14%, Valid_MLMAcc: 16.03%
TrainLoss : 5.56049, Train_NSPAcc: 82.42%, Train_MLMAcc: 7.35%, ValidLoss : 8.247, ValidNspAcc : 51.69%, Valid_MLMAcc: 16.21%
TrainLoss : 5.55340, Train_NSPAcc: 82.03%, Train_MLMAcc: 7.61%, ValidLoss : 8.078, ValidNspAcc : 53.98%, Valid_MLMAcc: 16.48%
TrainLoss : 5.47986, Train_NSPAcc: 83.79%, Train_MLMAcc: 7.79%, ValidLoss : 9.035, ValidNspAcc : 51.74%, Valid_MLMAcc: 16.55%
TrainLoss : 5.44082, Train_NSPAcc: 85.84%, Train_MLMAcc: 7.47%, ValidLoss : 8.693, ValidNspAcc : 52.22%, Valid_MLMAcc: 16.56%
TrainLoss : 5.41603, Train_NSPAcc: 85.06%, Train_MLMAcc: 7.77%, ValidLoss : 8.320, ValidNspAcc : 50.85%, Valid_MLMAcc: 16.82%
TrainLoss : 5.38199, Train_NSPAcc: 85.55%, Train_MLMAcc: 7.91%, ValidLoss : 8.813, ValidNspAcc : 49.67%, Valid_MLMAcc: 16.94%
TrainLoss : 5.30880, Train_NSPAcc: 85.94%, Train_MLMAcc: 8.22%, ValidLoss : 8.822, ValidNspAcc : 50.86%, Valid_MLMAcc: 17.18%
TrainLoss : 5.36085, Train_NSPAcc: 82.52%, Train_MLMAcc: 7.87%, ValidLoss : 8.362, ValidNspAcc : 51.50%, Valid_MLMAcc: 17.29%
TrainLoss : 5.28158, Train_NSPAcc: 86.82%, Train_MLMAcc: 8.01%, ValidLoss : 8.186, ValidNspAcc : 55.21%, Valid_MLMAcc: 16.79%
TrainLoss : 5.25877, Train_NSPAcc: 86.72%, Train_MLMAcc: 8.04%, ValidLoss : 8.326, ValidNspAcc : 52.70%, Valid_MLMAcc: 17.19%
TrainLoss : 5.21396, Train_NSPAcc: 87.30%, Train_MLMAcc: 8.36%, ValidLoss : 8.489, ValidNspAcc : 51.35%, Valid_MLMAcc: 17.32%
TrainLoss : 5.16117, Train_NSPAcc: 89.45%, Train_MLMAcc: 8.37%, ValidLoss : 8.794, ValidNspAcc : 52.47%, Valid_MLMAcc: 17.28%
TrainLoss : 5.16474, Train_NSPAcc: 88.28%, Train_MLMAcc: 8.32%, ValidLoss : 8.510, ValidNspAcc : 52.78%, Valid_MLMAcc: 17.46%
TrainLoss : 5.13419, Train_NSPAcc: 88.38%, Train_MLMAcc: 8.39%, ValidLoss : 8.593, ValidNspAcc : 50.65%, Valid_MLMAcc: 17.63%
TrainLoss : 5.08253, Train_NSPAcc: 88.87%, Train_MLMAcc: 8.42%, ValidLoss : 9.053, ValidNspAcc : 51.94%, Valid_MLMAcc: 17.64%
TrainLoss : 5.08785, Train_NSPAcc: 90.92%, Train_MLMAcc: 8.59%, ValidLoss : 8.901, ValidNspAcc : 52.02%, Valid_MLMAcc: 18.36%
TrainLoss : 5.09149, Train_NSPAcc: 88.48%, Train_MLMAcc: 8.60%, ValidLoss : 9.058, ValidNspAcc : 50.12%, Valid_MLMAcc: 17.71%
TrainLoss : 5.05646, Train_NSPAcc: 88.67%, Train_MLMAcc: 8.55%, ValidLoss : 8.599, ValidNspAcc : 52.71%, Valid_MLMAcc: 18.33%
TrainLoss : 4.95935, Train_NSPAcc: 90.82%, Train_MLMAcc: 8.78%, ValidLoss : 8.587, ValidNspAcc : 53.10%, Valid_MLMAcc: 18.73%
TrainLoss : 5.02039, Train_NSPAcc: 89.55%, Train_MLMAcc: 8.67%, ValidLoss : 9.165, ValidNspAcc : 50.80%, Valid_MLMAcc: 18.00%
TrainLoss : 4.95297, Train_NSPAcc: 91.41%, Train_MLMAcc: 8.91%, ValidLoss : 9.271, ValidNspAcc : 52.95%, Valid_MLMAcc: 18.36%
TrainLoss : 4.91603, Train_NSPAcc: 90.43%, Train_MLMAcc: 9.16%, ValidLoss : 8.868, ValidNspAcc : 51.93%, Valid_MLMAcc: 18.43%
TrainLoss : 4.93808, Train_NSPAcc: 92.09%, Train_MLMAcc: 8.81%, ValidLoss : 8.969, ValidNspAcc : 50.86%, Valid_MLMAcc: 18.60%
TrainLoss : 4.89499, Train_NSPAcc: 90.04%, Train_MLMAcc: 9.21%, ValidLoss : 8.811, ValidNspAcc : 51.05%, Valid_MLMAcc: 18.49%
TrainLoss : 4.90818, Train_NSPAcc: 91.11%, Train_MLMAcc: 9.24%, ValidLoss : 8.713, ValidNspAcc : 53.45%, Valid_MLMAcc: 18.13%
TrainLoss : 4.84136, Train_NSPAcc: 92.48%, Train_MLMAcc: 9.42%, ValidLoss : 8.846, ValidNspAcc : 50.47%, Valid_MLMAcc: 18.83%
TrainLoss : 4.76525, Train_NSPAcc: 93.46%, Train_MLMAcc: 9.40%, ValidLoss : 10.060, ValidNspAcc : 51.53%, Valid_MLMAcc: 18.77%
TrainLoss : 4.80078, Train_NSPAcc: 92.09%, Train_MLMAcc: 9.21%, ValidLoss : 9.534, ValidNspAcc : 49.44%, Valid_MLMAcc: 18.93%
TrainLoss : 4.83673, Train_NSPAcc: 90.04%, Train_MLMAcc: 9.57%, ValidLoss : 8.781, ValidNspAcc : 53.04%, Valid_MLMAcc: 18.92%
TrainLoss : 4.78036, Train_NSPAcc: 91.80%, Train_MLMAcc: 9.20%, ValidLoss : 8.889, ValidNspAcc : 53.59%, Valid_MLMAcc: 18.74%
TrainLoss : 4.75483, Train_NSPAcc: 90.43%, Train_MLMAcc: 9.57%, ValidLoss : 9.416, ValidNspAcc : 51.15%, Valid_MLMAcc: 18.70%
TrainLoss : 4.71252, Train_NSPAcc: 92.68%, Train_MLMAcc: 9.79%, ValidLoss : 9.510, ValidNspAcc : 51.68%, Valid_MLMAcc: 19.35%
